"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001504","neurotransmitter uptake",36,-0.600663714596925,-1.84995512985901,0.000583019802453353,0.0132025056792204,0.0112856143359592,5395,"tags=44%, list=23%, signal=34%","351/6571/9143/3690/1815/3688/3766/2055/2668/6580/6616/1813/6529/6622/6539/6540"
"GO:0021983","pituitary gland development",30,-0.625971735002547,-1.8498428107911,0.000592257654233439,0.013360702139038,0.0114208420175974,2349,"tags=43%, list=10%, signal=39%","5122/2247/2691/999/6657/5307/5449/190/1813/5308/9241/7474/3625"
"GO:0000212","meiotic spindle organization",20,0.680433983310323,1.95061082716302,0.00059522333113551,0.0133767425137386,0.0114345534665506,1710,"tags=40%, list=7%, signal=37%","221150/10403/259266/26271/9700/220134/6790/9133"
"GO:0019228","neuronal action potential",33,-0.622742695234242,-1.86702865648809,0.000612903265116913,0.0137220946110892,0.0117297633816615,4125,"tags=52%, list=18%, signal=43%","3776/54112/50801/2890/2629/6326/2898/6323/6330/1143/3736/3737/1134/3751/2859/6334/3786"
"GO:0044060","regulation of endocrine process",32,-0.628986102114363,-1.87558959291986,0.000620332305192785,0.013822342983076,0.0118154565441217,2223,"tags=31%, list=9%, signal=28%","1393/3624/668/1601/3952/2150/1588/3625/3814/6696"
"GO:0023061","signal release",416,-0.341526681127251,-1.44925392980913,0.000622040380327204,0.013822342983076,0.0118154565441217,5569,"tags=31%, list=24%, signal=24%","6812/2149/22871/9751/5743/406/26509/6571/3708/54972/41/5208/2297/4041/26056/51092/654/1910/706/8609/25953/9379/9143/5025/4067/2147/8564/3356/5587/9885/8425/2641/3091/2697/2901/9501/18/6690/54795/55784/27445/5021/8431/134/152/4988/7124/401258/26281/114/6833/9256/57818/886/5008/4282/23396/57555/6343/1363/7021/1020/6853/7432/7439/84961/6844/5798/3569/6567/11069/65018/6387/140606/8291/6422/127262/1393/2691/26059/3624/57393/112755/2822/19/2668/7425/3976/668/640/8660/7052/64840/1601/1143/389692/4825/2740/6861/5030/785/9699/8111/3737/6616/9498/3952/1813/2150/8618/130399/169026/140730/388581/10815/9066/6622/22999/23025/6447/387597/8399/1588/3625/3814/91683/440279/6696"
"GO:2000781","positive regulation of double-strand break repair",92,0.417207086801987,1.63057885455217,0.000624676604878731,0.013829127972931,0.0118212564112558,8846,"tags=65%, list=38%, signal=41%","10635/2305/8914/2187/84250/1663/8193/142/6502/55693/2271/23347/55183/112441434/57162/2521/8607/54556/4255/86/10902/84787/196528/54537/4683/8089/55719/23411/5591/55658/10856/57634/8289/6419/113510/54799/9274/6599/29117/6597/605/2074/55135/57492/55274/6598/6595/6605/8295/7155/1387/55193/6601/6944/5977/51588/9275/78996/80314/10524"
"GO:0120254","olefinic compound metabolic process",140,-0.414543088316421,-1.57646207367061,0.000656686646796335,0.0144837244440247,0.012380811051711,5974,"tags=43%, list=25%, signal=32%","11343/83875/2879/2950/231/1958/6916/9415/4259/27122/5743/8228/5959/654/1910/1109/57104/216/215/10901/8630/2052/84649/3292/6716/131/158833/158835/1562/246/1555/57834/54884/5740/9563/2946/174/1646/3624/8608/5730/24/57016/10858/441282/1558/1601/126/145226/1573/133/8605/158584/2902/1549/59344/8399/1588/10170/64577"
"GO:2000042","negative regulation of double-strand break repair via homologous recombination",26,0.624239154546988,1.89956175754326,0.000673859982698529,0.0148074491753718,0.0126575337101034,6160,"tags=54%, list=26%, signal=40%","116028/5347/10721/55010/2187/115004/23347/55086/55183/112441434/92797/54537/64110/708"
"GO:0008542","visual learning",45,-0.553998185106748,-1.76989684424226,0.000679905064029148,0.0148851540401658,0.0127239564905513,6247,"tags=44%, list=27%, signal=33%","10347/164312/3156/7846/351/3091/5153/3688/6833/27087/1020/84152/143941/5896/3815/1813/2903/2902/9241/81832"
"GO:0003299","muscle hypertrophy in response to stress",23,0.664288814393868,1.97346518282339,0.000703089647293854,0.0152242002824615,0.0130137761070372,2921,"tags=39%, list=12%, signal=34%","8557/407014/406976/28999/2146/23493/7222/4878/27302"
"GO:0014887","cardiac muscle adaptation",23,0.664288814393868,1.97346518282339,0.000703089647293854,0.0152242002824615,0.0130137761070372,2921,"tags=39%, list=12%, signal=34%","8557/407014/406976/28999/2146/23493/7222/4878/27302"
"GO:0014898","cardiac muscle hypertrophy in response to stress",23,0.664288814393868,1.97346518282339,0.000703089647293854,0.0152242002824615,0.0130137761070372,2921,"tags=39%, list=12%, signal=34%","8557/407014/406976/28999/2146/23493/7222/4878/27302"
"GO:0090267","positive regulation of mitotic cell cycle spindle assembly checkpoint",12,0.771487539608092,1.9212450017618,0.000750044212754543,0.0161818629609917,0.0138323943236417,5224,"tags=92%, list=22%, signal=71%","10403/9212/55143/332/4085/3619/348654/7517/55795/7175/8379"
"GO:2000377","regulation of reactive oxygen species metabolic process",139,-0.42172809242541,-1.60240350549978,0.00075554076873236,0.0162413890611924,0.0138832777412376,6902,"tags=46%, list=29%, signal=33%","1647/140823/5071/10193/7001/22933/55811/2771/378/6464/1182/8678/5159/83875/56848/2950/11334/7099/84329/351/6571/140885/706/7057/215/57103/10901/1026/8837/2147/5465/3091/80149/57126/7124/5076/405753/4504/730249/8870/664/255027/5446/407019/5880/2534/7048/65018/683/124056/10516/7498/6648/406954/2358/1410/7350/3952/2150/2902/6622/3689/575/4314"
"GO:0000910","cytokinesis",181,0.344565792825769,1.50097425712991,0.000774457324376559,0.016587925290708,0.0141794998626117,2666,"tags=17%, list=11%, signal=15%","79733/9055/675/9212/55143/10112/51203/9585/9928/990/24137/5347/54443/55165/994/128239/9493/9700/332/6790/11113/1058/29127/3925/3619/56155/26586/1894/9738/6795/51289"
