"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146197",1215.98851478276,-3.444677986107,1.10673554596791,-3.11246710983193,0.00185530685810277,0.0370367127763974
"ENSG00000137393",30.2930666736793,-2.44921821420367,0.808908945838711,-3.02780458394389,0.00246337327499279,0.0438055723418545
"ENSG00000111846",50.8818495997499,-3.70448737439777,0.727332110077064,-5.09325426867963,3.51969150921647e-07,0.0001426681365408
"ENSG00000291237",2526.26329417863,-1.87094670704948,0.423410908407285,-4.41874942260532,9.92736656414712e-06,0.00161669776962021
"ENSG00000111897",1516.54073479638,-1.04700054936348,0.317002823476707,-3.30281143202629,0.000957207318805562,0.0261180854131232
"ENSG00000111981",30.9869886618097,-2.42300406260729,0.742246004628625,-3.26442183251578,0.00109687724650916,0.0279568169369741
"ENSG00000111859",298.954741778212,-1.14340390422035,0.358395267381767,-3.19034320004674,0.00142103929508508,0.0320449008071184
"ENSG00000204580",163.13774750938,-1.30515754299323,0.415445358989131,-3.14158652817535,0.00168035148628588,0.0354912099069177
"ENSG00000180596",26.7402787900428,-3.15981084091989,0.945041360949897,-3.34356883358401,0.000827081728166877,0.0244162027598476
"ENSG00000119899",179.885621221854,-1.43893592982921,0.380082843000839,-3.78584815475617,0.000153185197474208,0.00904552744321939
"ENSG00000204592",958.4977994778,-1.03137572298803,0.335360474455724,-3.07542421229547,0.00210203342925197,0.0402482168118282
"ENSG00000132429",66.6376588636837,-1.87605302408376,0.584741119057171,-3.2083480414524,0.00133499836107715,0.031435140488895
"ENSG00000010810",411.347790821977,-1.21455029110007,0.332445157072124,-3.65338542391994,0.00025880530130737,0.0129160542468591
"ENSG00000137216",220.691411237489,-1.02192451597755,0.315787330918159,-3.23611625902242,0.00121168023029746,0.0297998474546772
"ENSG00000128510",413.505458263417,-2.00511391216065,0.606980341180325,-3.30342479998863,0.00095511582368432,0.0261180854131232
