"MCODE::Clusters (1)","MCODE::Clusters (2)","MCODE::Node Status (1)","MCODE::Node Status (2)","MCODE::Score (1)","MCODE::Score (2)","name","selected","shared name"
"Cluster 2","","Clustered","Unclustered","19.76284584980237","19.76284584980237","""9606.ENSP00000342434""","false","""9606.ENSP00000342434"""
"","","Unclustered","Unclustered","0.6666666666666666","0.6666666666666666","""9606.ENSP00000341170""","false","""9606.ENSP00000341170"""
"","","Unclustered","Unclustered","0.5","0.5","""9606.ENSP00000340279""","false","""9606.ENSP00000340279"""
"","","Unclustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000264935""","false","""9606.ENSP00000264935"""
"","","Unclustered","Unclustered","14.889705882352942","14.889705882352942","""9606.ENSP00000340271""","false","""9606.ENSP00000340271"""
"","","Unclustered","Unclustered","5.0","5.0","""9606.ENSP00000339883""","false","""9606.ENSP00000339883"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.83422459893048","30.83422459893048","""9606.ENSP00000339566""","true","""9606.ENSP00000339566"""
"","","Unclustered","Unclustered","2.0","2.0","""9606.ENSP00000334040""","false","""9606.ENSP00000334040"""
"","","Unclustered","Unclustered","7.5636363636363635","7.5636363636363635","""9606.ENSP00000332915""","false","""9606.ENSP00000332915"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.32732732732733","31.32732732732733","""9606.ENSP00000332790""","true","""9606.ENSP00000332790"""
"Cluster 9","","Seed","Unclustered","2.0","2.0","""9606.ENSP00000330240""","false","""9606.ENSP00000330240"""
"Cluster 9","","Clustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000239830""","false","""9606.ENSP00000239830"""
"Cluster 2","","Clustered","Unclustered","17.967391304347824","17.967391304347824","""9606.ENSP00000328236""","false","""9606.ENSP00000328236"""
"Cluster 3","","Seed","Unclustered","17.454545454545453","17.454545454545453","""9606.ENSP00000328174""","false","""9606.ENSP00000328174"""
"","","Unclustered","Unclustered","3.0","3.0","""9606.ENSP00000326603""","false","""9606.ENSP00000326603"""
"Cluster 3","","Clustered","Unclustered","15.896103896103895","15.896103896103895","""9606.ENSP00000325863""","false","""9606.ENSP00000325863"""
"Cluster 5","","Clustered","Unclustered","4.761904761904762","4.761904761904762","""9606.ENSP00000325376""","false","""9606.ENSP00000325376"""
"Cluster 13|Cluster 11","","Clustered","Unclustered","2.0","2.0","""9606.ENSP00000325146""","false","""9606.ENSP00000325146"""
"Cluster 2","","Clustered","Unclustered","18.76923076923077","18.76923076923077","""9606.ENSP00000325017""","false","""9606.ENSP00000325017"""
"","","Unclustered","Unclustered","8.836363636363636","8.836363636363636","""9606.ENSP00000323663""","false","""9606.ENSP00000323663"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000302846""","false","""9606.ENSP00000302846"""
"Cluster 8","","Clustered","Unclustered","3.7333333333333334","3.7333333333333334","""9606.ENSP00000323580""","false","""9606.ENSP00000323580"""
"Cluster 3","","Clustered","Unclustered","16.0","16.0","""9606.ENSP00000323421""","false","""9606.ENSP00000323421"""
"Cluster 4","","Clustered","Unclustered","12.133333333333333","12.133333333333333","""9606.ENSP00000323099""","false","""9606.ENSP00000323099"""
"Cluster 6","","Clustered","Unclustered","21.486666666666668","21.486666666666668","""9606.ENSP00000322570""","false","""9606.ENSP00000322570"""
"Cluster 2","","Clustered","Unclustered","18.741935483870968","18.741935483870968","""9606.ENSP00000322180""","false","""9606.ENSP00000322180"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.47147147147147","31.47147147147147","""9606.ENSP00000321744""","true","""9606.ENSP00000321744"""
"Cluster 1","Cluster 1","Clustered","Clustered","29.829545454545453","29.829545454545453","""9606.ENSP00000320147""","true","""9606.ENSP00000320147"""
"Cluster 4","","Clustered","Unclustered","12.092307692307692","12.092307692307692","""9606.ENSP00000317039""","false","""9606.ENSP00000317039"""
"","","Unclustered","Unclustered","6.0","6.0","""9606.ENSP00000316681""","false","""9606.ENSP00000316681"""
"Cluster 6","","Clustered","Unclustered","20.486772486772487","20.486772486772487","""9606.ENSP00000315644""","false","""9606.ENSP00000315644"""
"Cluster 8","","Seed","Unclustered","3.7333333333333334","3.7333333333333334","""9606.ENSP00000281142""","false","""9606.ENSP00000281142"""
"","","Unclustered","Unclustered","10.85897435897436","10.85897435897436","""9606.ENSP00000313851""","false","""9606.ENSP00000313851"""
"","","Unclustered","Unclustered","2.8030303030303028","2.8030303030303028","""9606.ENSP00000313199""","false","""9606.ENSP00000313199"""
"Cluster 6","","Clustered","Unclustered","20.543478260869566","20.543478260869566","""9606.ENSP00000313171""","false","""9606.ENSP00000313171"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000310873""","false","""9606.ENSP00000310873"""
"Cluster 4","","Seed","Unclustered","12.935672514619883","12.935672514619883","""9606.ENSP00000310356""","false","""9606.ENSP00000310356"""
"","","Unclustered","Unclustered","5.0","5.0","""9606.ENSP00000309595""","false","""9606.ENSP00000309595"""
"Cluster 3","","Clustered","Unclustered","15.38961038961039","15.38961038961039","""9606.ENSP00000307288""","false","""9606.ENSP00000307288"""
"Cluster 3","","Clustered","Unclustered","16.54263565891473","16.54263565891473","""9606.ENSP00000305480""","false","""9606.ENSP00000305480"""
"Cluster 6","","Clustered","Unclustered","24.193548387096776","24.193548387096776","""9606.ENSP00000301280""","false","""9606.ENSP00000301280"""
"Cluster 2","","Clustered","Unclustered","19.729032258064514","19.729032258064514","""9606.ENSP00000300738""","false","""9606.ENSP00000300738"""
"Cluster 5","","Clustered","Unclustered","4.761904761904762","4.761904761904762","""9606.ENSP00000300413""","false","""9606.ENSP00000300413"""
"","","Unclustered","Unclustered","11.868131868131869","11.868131868131869","""9606.ENSP00000299821""","false","""9606.ENSP00000299821"""
"","","Unclustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000237612""","false","""9606.ENSP00000237612"""
"Cluster 14|Cluster 12","","Clustered","Unclustered","2.0","2.0","""9606.ENSP00000298281""","false","""9606.ENSP00000298281"""
"","","Unclustered","Unclustered","6.1090909090909085","6.1090909090909085","""9606.ENSP00000296503""","false","""9606.ENSP00000296503"""
"","","Unclustered","Unclustered","7.0","7.0","""9606.ENSP00000295746""","false","""9606.ENSP00000295746"""
"","","Unclustered","Unclustered","21.0","21.0","""9606.ENSP00000290130""","false","""9606.ENSP00000290130"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.423423423423422","31.423423423423422","""9606.ENSP00000289316""","true","""9606.ENSP00000289316"""
"Cluster 12|Cluster 14","","Seed","Unclustered","2.0","2.0","""9606.ENSP00000288840""","false","""9606.ENSP00000288840"""
"","","Unclustered","Unclustered","6.0","6.0","""9606.ENSP00000255674""","false","""9606.ENSP00000255674"""
"","","Unclustered","Unclustered","0.5","0.5","""9606.ENSP00000253669""","false","""9606.ENSP00000253669"""
"Cluster 7","","Clustered","Unclustered","5.2","5.2","""9606.ENSP00000287482""","false","""9606.ENSP00000287482"""
"Cluster 4","","Clustered","Unclustered","11.086770981507822","11.086770981507822","""9606.ENSP00000287394""","false","""9606.ENSP00000287394"""
"","","Unclustered","Unclustered","4.0","4.0","""9606.ENSP00000287380""","false","""9606.ENSP00000287380"""
"Cluster 13|Cluster 11","","Clustered","Unclustered","2.0","2.0","""9606.ENSP00000286614""","false","""9606.ENSP00000286614"""
"Cluster 2","","Clustered","Unclustered","19.058823529411764","19.058823529411764","""9606.ENSP00000286398""","false","""9606.ENSP00000286398"""
